reaction_split,split_type,split_level,Symptom_ID,Symptom,Observation,Hypothesis,Experiment,additional_details,representative_entries,source_json,n_entries
Ring closing olefin metathesis,reaction_class,3,2,Slurry formation,"Viscous slurry or solid particles appear during the reaction, causing high torque on the agitator and occasional blockage of feed lines.","solvent_change_for_solubility, change_of_base, improved_mixing_or_impeller_design - switching to a fully soluble organic base (e.g., DBU), adding a co-solvent, or installing a high-shear impeller can maintain a single-phase system.","Screen a set of solvents (THF, MeCN, 2-MeTHF) and bases (K₂CO₃, DBU, t-BuTMG) in small-scale reactors; measure slurry formation (visual inspection, torque) and conversion. Implement the best-performing solvent/base pair and a high-shear impeller in a pilot-scale batch, confirming the absence of slurry and consistent conversion.",Temperature can shift solubility limits; a modest heating step (30 °C) often resolves borderline cases without compromising selectivity.,"7771, 7778, 7770",scaleup_generalized_workflow_reaction_class_Ring_closing_olefin_metathesis_runreaction_class_r8.json,250
Ring closing olefin metathesis,reaction_class,3,3,Gas-evolution pressure rise,"Rapid generation of gases (ethylene, NH₃, H₂) produces pressure spikes or venting difficulties; pressure alarms trigger during the reaction.","pressure_or_gas_headspace_optimization, gas_evolution_or_mass_transfer_management, change_of_additive - applying a slight vacuum or continuous inert-gas sweep, installing a vented reactor, and/or adding a gas-scrubbing additive mitigates pressure buildup and protects catalyst activity.","Run the reaction in three configurations: (i) sealed batch, (ii) batch with a 400 Torr vacuum, (iii) continuous N₂ sweep at 0.2 L min⁻¹. Record pressure profiles, ethylene concentration in the headspace, and product yield. Choose the configuration that maintains steady pressure and maximises conversion.",Gas-phase removal is especially critical for Ring-Closing Metathesis where ethylene is a by-product; venting must be compatible with downstream quench steps.,"10194, 10192, 10193, 10191, 10190",scaleup_generalized_workflow_reaction_class_Ring_closing_olefin_metathesis_runreaction_class_r8.json,250
Ring closing olefin metathesis,reaction_class,3,4,Catalyst deactivation signs,"Appearance of dimeric by-products, loss of catalyst colour, or a sharp drop in isolated yield despite unchanged reaction conditions.","change_of_catalyst_or_ligand_identity, optimization_of_catalyst_loading, improved_quench_or_neutralization - switching to a more robust catalyst (Stewart-Grubbs, Hoveyda-Grubbs II) or lowering the loading, and adding a Ru-scavenger/quench at the end, can preserve activity and simplify purification.","Compare three catalyst systems (G2, SG, Hoveyda-Grubbs II) at 1 mol % and 2.5 mol % loadings in parallel reactors; monitor dimer formation by LC-MS and residual Ru by ICP-MS. Introduce a post-reaction quench with ethyl-vinyl-ether or a silica-bound thiol scavenger in a subset to evaluate impurity suppression.","Early in-process analytical checks (e.g., UV-vis for Ru-carbene) enable rapid detection of deactivation before scale-up.","14040, 10586",scaleup_generalized_workflow_reaction_class_Ring_closing_olefin_metathesis_runreaction_class_r8.json,250
Ring closing olefin metathesis,reaction_class,3,5,Concentration-dependent yield drop,"Yield falls dramatically (e.g., from 80 % to 30 %) when substrate concentration is increased from 5 mM to 20 mM or when reactor volume is scaled up.","optimization_of_reagent_stoichiometry, solvent_change_for_solubility, temperature_setpoint_or_temperature_ramp_optimization - maintaining a dilute regime, switching to a solvent that improves substrate solubility, or modestly raising temperature can restore conversion.","Perform a concentration series (5, 10, 20 mM) in a fixed-volume reactor while varying solvent (toluene, 1,2-DCE, MeCN) and temperature (80 °C vs 100 °C). Plot yield vs concentration to locate the breakpoint; adopt the optimal dilution or solvent that keeps yield >= 70 % at the target production concentration.","If dilution is impractical, consider continuous-flow operation where high surface-to-volume ratios alleviate mass-transfer constraints.","10007, 10005",scaleup_generalized_workflow_reaction_class_Ring_closing_olefin_metathesis_runreaction_class_r8.json,250
SNAr ether synthesis,reaction_class,3,1,Heterogeneous slurry,"A solid-laden, non-uniform slurry or crust forms during the reaction (e.g., ""thick slurry"", ""crust"", ""poorly dispersed solid"").","solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition, improved_mixing_or_impeller_design, change_of_addition_order_or_feed_profile, phase_behavior_or_biphasic_system_optimization - switching to a solvent that keeps all solids in solution, adding a co-solvent, improving agitation, or feeding solids more slowly can restore a homogeneous reaction mixture.","A DoE screening of solvent/co-solvent combinations (DMAc, MeCN, IPA, water) and particle-size grading of K₂CO₃ was performed; high-shear impellers and staged addition of the nucleophile were evaluated on a 50 L pilot reactor. The optimal condition used MeCN + 1 % water with finely milled K₂CO₃ and a 3 h controlled feed, giving a clear, single-phase slurry and consistent conversion.",Fine-particle bases reduce local hot spots; the chosen co-solvent must not interfere with the SNAr mechanism. Scale-up to >500 kg retained the same mixing power density (kW m⁻³) to avoid slurry re-formation.,"124, 1402, 20497, 21174, 21178",scaleup_generalized_workflow_reaction_class_SNAr_ether_synthesis_runreaction_class_r6.json,250
SNAr ether synthesis,reaction_class,3,2,Temperature spike,"Sudden temperature rise (ΔT > 5-10 °C) or exothermic ""runaway"" signal during heating or reagent addition.","thermal_runaway_mitigation_or_quench_safety_modification, temperature_setpoint_or_temperature_ramp_optimization, improved_heat_transfer_or_temperature_control_hardware - implement staged addition, lower set-points, and upgrade jacket/heat-exchange capacity to keep the reaction within a safe thermal envelope.","Calorimetric (ARC) profiling identified the adiabatic temperature rise. A staged, syringe-pump addition of the electrophile over 30 mL h⁻¹ was introduced, and the reactor jacket temperature was limited to 95 °C (vs. 120 °C in the original). A high-efficiency coil heat-exchanger was installed for rapid quench. The modified protocol eliminated temperature excursions (> 2 °C) on a 200 kg batch.","The safe operating window is defined by the solvent decomposition temperature (e.g., DMSO ~ 175 °C). Real-time temperature monitoring with a PID controller is essential for large-scale runs.","14105, 15088, 1401, 1403",scaleup_generalized_workflow_reaction_class_SNAr_ether_synthesis_runreaction_class_r6.json,250
SNAr ether synthesis,reaction_class,3,3,Impurity surge,"Rapid increase in a specific side-product (e.g., bis-alkylated impurity, MeSH-derived impurity) that exceeds specification limits.","improved_impurity_purge_or_byproduct_control, change_of_additive, change_of_base, optimization_of_reagent_stoichiometry - adding a scavenger or selective additive, switching to a milder base, or tightening reagent equivalents can suppress the undesired pathway.","A factorial DoE varied base (K₂CO₃ vs. DIPEA), additive (TBAC, Ca-propionate), and nucleophile excess (1.0-1.5 eq). The optimal condition used DIPEA (1.0 eq) with TBAC (0.5 eq) and 1.1 eq nucleophile, which reduced the bis-alkylated impurity from 12 % to <0.5 % on a 100 kg scale.",Impurity formation can be temperature-sensitive; the optimal condition also required a modest temperature reduction (90 °C) to further limit side-reaction kinetics.,"5354, 21579",scaleup_generalized_workflow_reaction_class_SNAr_ether_synthesis_runreaction_class_r6.json,250
SNAr ether synthesis,reaction_class,3,4,Low conversion,"Significant amount of starting material remains after the nominal reaction time (e.g., >0.5 % residual aryl chloride).","optimization_of_reagent_stoichiometry, change_of_base, solvent_change_for_reactivity, temperature_setpoint_or_temperature_ramp_optimization - increasing nucleophile equivalents, employing a stronger non-nucleophilic base, or raising the temperature can push the equilibrium to completion.","A series of 3 L runs compared K₂CO₃ (3 eq) vs. KOt-Bu (1.5 eq) and temperatures of 70 °C vs. 85 °C. The combination of KOt-Bu and 85 °C gave >99 % conversion within 4 h, whereas the original K₂CO₃/70 °C protocol stalled at ~85 % conversion even after 12 h.","When stronger bases are used, solvent compatibility must be reassessed (e.g., switching from DMSO to NMP to avoid precipitation). The stoichiometry should be kept as low as possible to limit waste while ensuring complete consumption.","1401, 1403",scaleup_generalized_workflow_reaction_class_SNAr_ether_synthesis_runreaction_class_r6.json,250
Unrecognized,reaction_class,3,1,Exotherm / temperature spike,Sudden rise of reactor temperature (>= 10 °C) during addition or after charge-up.,"temperature_setpoint_or_temperature_ramp_optimization, improved_heat_transfer_or_temperature_control_hardware","Implemented active cooling (jacket, ice-bath) and split the addition into multiple, temperature-controlled portions; in some cases a new reactor with high-efficiency heat-exchange channels was installed.","The corrective action caps the temperature rise, prevents runaway, and restores selectivity.","21269, 9866, 12843, 15182, 21269",scaleup_generalized_workflow_reaction_class_Unrecognized_runreaction_class_r1.json,250
Unrecognized,reaction_class,3,2,Slurry / precipitation (mixability),Formation of a solid or highly viscous slurry that settles or blocks stirrers/pumps.,"clogging_or_fouling_mitigation, solvent_change_for_solubility, improved_mixing_or_impeller_design",Switched to a solvent (or co-solvent) that keeps all components in solution; reduced solid loading; added a small amount of a polar co-solvent or surfactant; upgraded impeller to a high-shear design.,"The slurry disappears or becomes a stable suspension, allowing reliable agitation and flow.","1761, 13871, 19942, 19942, 19942",scaleup_generalized_workflow_reaction_class_Unrecognized_runreaction_class_r1.json,250
Unrecognized,reaction_class,3,3,Gas evolution / pressure build-up,"Rapid increase of reactor pressure or visible gas bubbles (e.g., H₂, O₂, CO₂) during the reaction.","pressure_or_gas_headspace_optimization, gas_evolution_or_mass_transfer_management, condition_change_to_reduce_or_remove_process_hazard",Added a vent or back-pressure regulator set to a safe limit; introduced inert gas sparging to dilute reactive gases; reduced the amount of gas-forming reagent or changed to a less gas-intensive oxidant/reductant.,Controlled pressure eliminates spikes and improves reproducibility.,"21269, 9866, 12843, 15182, 21269",scaleup_generalized_workflow_reaction_class_Unrecognized_runreaction_class_r1.json,250
Unrecognized,reaction_class,3,4,Variable conversion / batch-to-batch drift,"Same nominal recipe gives different conversion or impurity levels across runs (often linked to pH, concentration, or residence-time).","optimization_of_reagent_stoichiometry, temperature_setpoint_or_temperature_ramp_optimization, change_of_addition_order_or_feed_profile","Performed a Design-of-Experiments (DoE) to tighten stoichiometric windows; introduced a staged addition (e.g., add base after substrate is fully dissolved); installed real-time temperature/pH control loops.",Tight control restores consistent conversion and impurity profile.,"21269, 9866, 12843, 15182, 21269",scaleup_generalized_workflow_reaction_class_Unrecognized_runreaction_class_r1.json,250
Unrecognized,reaction_class,3,5,Long residence / slow reaction,"Reaction requires > 10 h (or many minutes of residence time) to reach completion, limiting throughput.","hold_time_or_residence_time_optimization, batch_to_flow_or_flow_process_implementation, temperature_setpoint_or_temperature_ramp_optimization",Moved the step to continuous flow with higher temperature or pressure to accelerate kinetics; increased temperature within safety limits; shortened residence time after kinetic modeling.,Throughput improves dramatically while maintaining selectivity.,"21269, 9866, 12843, 15182, 21269",scaleup_generalized_workflow_reaction_class_Unrecognized_runreaction_class_r1.json,250
